states,x,y
Jammu & Kashmir,-134,321
Himachal Pradesh,-117,250
Uttrakhand,-70,205
Punjab,-157,225
Haryana,-138,179
Rajasthan,-203,118
Gujarat,-256,24
Uttar Pradesh,-41,120
Madhya Pradesh,-113,19
Chattisgarh,-18,-18
Bihar,77,90
West Bengal,125,23
Arunachal Pradesh,268,172
Meghalaya,188,95
Assam,211,122
Nagaland,302,113
Manipur,298,71
Mizoram,266,29
Tripura,178,55
Sikkim,162,156
Maharastra,-172,-69
Karnataka,-166,-194
Telangana,-87,-107
Andhra Pradesh,-92,-188
Kerela,-171,-299
Tamil Nadu,-103,-300
Goa,-236,-175
Jharkhand,63,38
Orissa,47,-37
